MaCk,EPS,PE,PB,ROA,ROE,TangTruongDoanhThuThuan,TangTruongLoiNhuanGop,TangTruongTongTaiSan
BVB,599.0,19.37,01.04,3.006.211.928.804.080,5.056.972.419.409.030,0.0,0.0,17.81
BVG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,2809.0,18.05,1.6,8.586.307.172.553.460,9.176.297.331.255.800,-0.54,-191.67,13.62
BVL,102.0,90.63,0.59,8.120.180.195.628.320,11.243.511.987.838.700,-22.23,-46.69,21.4
BVN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVS,2373.0,15.59,01.09,30.435.217.968.314.000,7.007.990.805.759.850,13.79,11.68,-6.4
BWA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BWE,3062.0,15.51,1.89,46.762.362.218.057.300,12.038.891.620.965.900,12.28,8.29,17.16
BWS,2727.0,12.43,2.88,20.069.083.258.969.400,21.676.808.370.172.900,9.1,22.03,14.17
BXD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BXH,180.0,83.7,0.83,556.666.746.822.998,9.944.522.254.614.100,-21.65,-33.78,-14.33
BXT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C21,828.0,20.64,0.37,15.726.758.010.323.900,18.484.117.574.324.400,17.93,29.94,17.33
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C32,755.0,23.33,0.48,14.391.353.993.860.900,20.733.214.004.258.400,26.86,30.68,-8.86
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C47,108.0,55.6,0.5,16.907.025.335.063.600,8.555.233.482.917.780,-4.29,-22.5,23.1
C4G,502.0,15.74,0.72,18.828.264.697.688.200,4.556.983.978.539.780,20.65,12.65,-1.17
C69,272.0,24.23,0.48,1.847.986.248.872.730,25.836.859.821.650.200,-8.36,-3.57,-10.46
C71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAD,-3731.0,-0.13,-0.01,-6.781.269.494.729.700,0.0,-27.98,-114.53,-16.84
CAG,-48.0,-164.79,0.76,-4.463.029.934.739.970,-46.192.142.735.206.800,-35.05,-80.32,-2.52
CAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAN,308.0,175.27,1.86,5.368.998.514.688.970,10.597.117.453.573.200,-8.06,-5.88,-28.78
CAP,2199.0,19.97,2.79,11.454.098.366.026.000,12.886.894.687.909.800,-3.21,-49.57,-7.6
CAR,812.0,24.88,1.75,6.030.629.201.379.830,6.542.257.042.531.140,2.99,3.99,27.74
CAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBI,-3498.0,-2.72,1.42,-7.612.897.414.981.140,-5.240.844.762.033.680,-16.37,-101.47,0.79
CBS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1,669.0,23.9,1.25,15.474.998.152.766.200,5.658.952.150.083.210,81.01,47.29,11.96
CC4,283.0,58.96,1.24,14.141.602.982.026.500,30.062.424.792.565.100,-67.7,-65.86,11.33
CCA,728.0,23.34,0.91,12.402.984.053.833.100,39.038.483.169.200.400,4.96,58.06,-18.06
CCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCI,1871.0,13.47,1.62,41.302.568.835.346.600,12.043.940.457.048.000,-0.32,-12.25,1.44
CCL,711.0,12.67,0.74,3.743.744.220.154.780,5.851.588.787.980.000,-4.77,-12.11,-0.65
CCM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR,676.0,20.13,1.18,53.985.513.447.939.700,6.039.330.588.207.570,24.1,21.3,2.1
CCT,128.0,74.93,01.02,10.105.316.876.872.900,13.634.448.714.784.500,06.09,13.95,2.61
CCV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC,1302.0,13.09,0.97,13.368.143.440.832.400,7.414.877.809.561.670,-10.48,-26.18,18.95
CDG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDN,3044.0,11.17,1.84,12.248.649.381.012.800,16.462.317.146.827.000,17.59,13.56,11.71
CDO,-61.0,-31.07,0.29,-830.609.584.401.537,-9.267.666.139.404.840,2.23,1.32,-2.46
CDP,945.0,10.79,0.86,8.059.705.802.801.850,7.929.171.999.241.040,4.72,12.35,-1.21
CDR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEN,1.0,1509.48,0.2,128.377.467.788.158,13.154.571.375.705.500,5.81,18.41,1.26
CEO,363.0,36.34,1.13,18.948.773.379.904.900,26.894.155.818.758.400,-6.15,-18.92,-4.89
CER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CET,11.0,427.42,0.41,9.055.713.169.090.520,9.657.558.764.381.440,-9.09,13.5,-13.46
CFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFV,3718.0,6.81,1.72,19.259.642.951.945.800,2.529.605.840.453.890,-35.6,215.42,-12.59
CGL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CGV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHP,2136.0,15.78,2.49,11.637.024.157.736.800,1.578.368.009.148.420,-7.62,-10.19,-9.13
CHS,1242.0,10.47,1.14,7.506.663.525.166.210,108.797.020.043.876,-0.9,-0.97,-13.39
CI5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIA,242.0,42.56,0.58,12.956.737.021.322.300,13.704.143.539.979.100,30.59,90.9,2.51
CIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIG,2042.0,3.99,1.2,6.230.177.134.455.970,30.042.568.030.662.100,42.8,33.7,47.86
CII,870.0,16.03,0.49,174.073.731.472.393,6.983.647.265.260.280,-1.59,45.68,10.59
CIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CJC,977.0,26.39,2.2,3.157.178.553.770.890,8.323.356.136.819.330,53.49,21.83,12.3
CK8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKD,3156.0,7.22,1.32,8.058.147.390.093.180,18.218.293.409.405.500,22.67,27.98,13.53
CKG,1339.0,16.88,1.46,25.074.991.410.938.200,8.552.577.121.255.000,3.13,-9.58,6.25
CKH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKV,694.0,18.74,0.68,13.974.720.087.762.000,3.607.381.118.931.150,12.08,22.09,31.0
CLC,5732.0,09.07,1.5,768.326.836.697.504,16.512.252.935.336.800,24.27,22.72,24.79
CLG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLH,3223.0,6.73,1.3,12.392.077.705.127.400,19.310.580.622.184.700,0.3,-7.92,2.9
CLL,2867.0,12.49,1.95,14.576.202.929.094.300,15.926.226.432.278.000,5.14,7.37,0.96
CLM,13026.0,5.9,1.13,10.635.394.281.779.700,1.914.250.329.942.160,-2.23,-17.69,-43.99
CLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLW,4111.0,10.3,2.16,938.626.753.625.158,20.945.751.851.978.900,-0.07,11.31,-2.46
CLX,2279.0,7.33,0.8,8.238.421.761.608.140,10.895.907.201.976.400,-0.05,9.33,3.91
CMC,18.0,319.26,0.42,5.033.459.259.516.140,1.316.418.444.822.420,55.0,1245.58,8.4
CMD,2673.0,8.19,01.04,8.731.723.129.970.040,12.751.991.582.790.500,-19.62,-21.22,-8.68
CMF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,-1280.0,-0.94,-0.17,-9.792.458.826.944.190,0.0,148.47,-144.5,-9.85
CMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMM,942.0,9.88,0.75,2.550.419.659.638.610,783.088.418.557.117,38.38,52.11,26.73
CMN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMP,781.0,10.38,0.73,3.646.515.917.699.230,7.030.456.547.834.570,68.7,110.05,3.37
CMS,195.0,50.36,0.96,889.178.641.075.682,1.904.513.669.739.410,105.98,53.06,30.42
